,l,r,des
125,15000,20000,岗位职责：1、负责公司大数据解决方案的设计和研发，打造完备的大数据技术体系；2、负责数据采集、etl、数据分析、数据挖掘等大数据相关技术的研究及应用；3、负责公司数据基础架构和数据处理体系的升级和优化，不断提升系统的稳定性和效率，为公司平台的业务提供大数据底层平台的支持和保证；4、负责大数据可视化工具设计、研发；5、负责大数据***的研究及应用；岗位要求：1、全日制统招本科及以上学历，5年以上相关工作经验，掌握c/c++/java/python/scala等至少一门高级编程语言；2、具备扎实的数学和计算机科学功底，以及坚实的数据挖掘和机器学习理论基础，熟悉主流算法（如关联，聚类，马尔可夫，神经网络，决策树，贝叶斯网络，图论算法等）；3、对hadoop有实施经验，对基于hadoop、spark、storm、mapreduce、hdfs、yarn、hbase等技术开发大数据处理引擎有深入了解；4、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现；5、具备良好沟通能力和团队合作精神，工作认真细致，责任心强；6、有互联网公司大规模数据平台建设者优先；7、有人脸识别、人工智能相关经验优先考虑
126,15000,20000,岗位职责:1、负责大规模分布式深度学习算法架构的设计，开发，及调优工作；2、对图像识别等领域的功能应用提供算法模型支持；3、负责机器学习在体育领域的应用探索。任职要求:1、扎实可靠的编程能力，精通python；2、有机器学习、人工智能、自然语言处理等领域领先企业的工作经验者优先；3、熟练掌握tensorflow/caffe/theano等一个或多个深度学习平台的使用；4、有责任心，沟通能力佳，抗压能力强，良好的表达能力。
129,15000,20000,"岗位职责：？1.？负责机器学习、计算机视觉、图像处理，语义理解等算法研究；2. 负责算法在产品中的落地；3. 负责机器学习算法的性能优化、难点攻关与前瞻研究；任职要求：？1.？计算机、数学或模式识别等相关专业，硕士或博士学历，一年以上工作经验；？2.？掌握机器学习/深度学习等相关知识，有该领域算法的研究或开发经验；？3.？熟悉深度学习的开源框架，如caffe、mxnet、tensorflow、theano等；？4.？熟悉物体（人体、人脸、通用目标）检测、跟踪与识别的基本算法，有图像识别、视频分析产品研发经验优先；？5.？具有较强的编程能力，熟悉c/c++、python,有mpi、cuda等并行程序开发经验优先；？6.？较强的学习和钻研能力，具有良好的沟通能力和团队合作精神；"
132,15000,20000,岗位职责：  1、从事大数据平台建设开发，数据治理，分析，编码的工作。  任职要求：  1.、数学、统计、计算机等相关专业，大学专科及以上学历；  2、了解统计学、数学、人工智能和数据挖掘理论基础，了解数据仓库、数据挖掘与分析的相关知识，具有良好的数据模型设计能力，熟悉常用统计分析方法、数据挖掘基本算法；  3.、熟悉java，python，scala开发语言，并具有实际开发经验；  4、了解hadoop技术生态圈相关知识，有过hadoop生态圈部署，开发经验；  5、了解oracle、mysql、sql server、db2至少一种数据库软件，熟练使用sql完成常规取数，使用linux shell、python脚本初步处理数据；  6、熟悉联机分析处理(olap) 理论与工具，掌握olap数据平台，熟悉大数据结构化及非结构化分析工具；  7、熟悉sqoop，hive，impala，spark，drill，kylin以及bi工具者优先；  其他要求：  1、 学习能力强，适应能力好，主动性强，抗压能力强，团队协作意识强，能适应一定程度的加班；  2、 具备良好的沟通能力和表达能力，有较强的数据敏感度，良好的沟通协调能力，能承受一定的工作压力；
138,15000,20000,岗位要求：1、 熟悉深度学习理论，可独立实现环境的建立，模型的训练，调参，样本的设计；2、 精通人脸检测、识别，或车辆检测，识别；3、 有移植和应用分类器解决实际问题的经验；4、 编程经验丰富；工作职责：1、 负责深度学习工具的引入，模型的训练，调参，样本的设计；2、算法的平台移植与效率评估优化；3、功能的产品化；
140,15000,20000,"岗位描述：1.？图像处理算法研发；2.？跟踪相关领域的技术发展趋势，形成技术分析报告；3.？协助和支持硬件工程师完成机械臂的硬件控制实现；任职要求：1.？扎实的matlab,？c/c++算法编写能力；2.？具备1年以上图像处理开发经验，具备图像处理的成功产品案例；3.？熟悉各种医学图像处理算法，例如经典的图像分割和图像配准算法等；4.？至少熟悉一种技术：vtk,？itk,？opengl,？？opencv,？openmesh,？spm5.？学习能力强，有较深钻研精神，较强的沟通能力和团队协作精神；6.？具备较好的英文文献阅读能力。"
142,15000,20000,1)熟悉自然语言处理、机器学习、深度学习等相关算法，对自然语言处理方向有较深和全面的认识；2)了解机器学习和深度学习等相关算法和框架，有tensorflow项目实现经验优先；？3)至少在以下领域有深入的研究:？信息提取，句法分析，文本分类，智能问答，知识图谱；？4)至少熟悉python或java等一种编程语言； 5)计算机或相关专业，研究生及以上学历优先。
144,15000,20000,"1.深度学习、计算机视觉的技术难点攻关与前瞻研究, 涉及图像识别，物体检测，视频分析，模型压缩等领域2.负责计算机视觉、深度学习相关的技术以及系统的研发3.需求调研、编写相关的开发文档任职资格1.硕士及以上，计算机或相关专业毕业，在深度学习、统计机器学习、计算机视觉、最优化方法等方面有两年以上的研究经历2.较强的算法实现能力，熟练掌握python编程，有c/c++编程经验者优先，熟悉linux系统和开发环境，熟练使用tensorflow等主流深度学习框架3.了解gpu并行计算、熟悉cuda编程者优化经验者优先4.能够熟练阅读领域论文，并且拥有较强算法实现能力5.熟悉物体（人体、通用目标）检测、跟踪与识别的基本算法6.具有良好的沟通能力和团队合作精神"
147,15000,20000,1.负责计算机视觉相关的技术、系统、产品的研发工作； 2.独立完成视觉算法的实现，主要包括基于深度学习的物体识别、图像识别； 3.结合业务需求进行相应的算法优化，设计并实现实时性较高的计算机视觉算法； 4.负责相关方向技术难点攻关、前瞻研究以及应用拓展。 任职要求：1. 硕士及以上学历；至少3年以上计算机视觉图像处理的项目经验。博士优先考虑。2. 熟悉模式识别、机器学习、图像处理等领域的基本方法。3. 熟练掌握机器学习，尤其是深度学习，精通至少一种深度学习框架； 4. 研究方向为计算机视觉领域，包括基于视觉的检测、追踪、识别、理解与挖掘等，有实际项目经验者优先； 5.具备良好的沟通能力和团队合作精神，有责任感，学习能力强。
153,15000,20000,1、硕士及以上学历，博士学历优先，计算机视觉，人工智能，机器学习，模式识别，图像处理等专业；？？2、精通c++，精通opencv，具有扎实的计算机视觉和图像处理基础知识，精通增强、配准、特征提取、特征匹配、运动跟踪、模式识别等相关算法及机器学习；3、有人脸识别、手势识别、模式识别，视屏分析、图像处理等相关开发工作经验；？4、有深度学习和计算机视觉算法经验者优先。？ ？ ？ ？？岗位职责：1、负责视觉系统方案制定；2、负责视觉系统算法研发；3、负责视觉系统设备选型。4、负责项目总体进程，质量监督等。l联系方式：15256057558（汪经理，微信同号）？ ？ ？ ？ ？ ？ ？ ？ ？18155594810（王经理）2453420067@qq.com
